Count,Repo_Name,Description,Forks,Stars,Watchers,Open_Issues,Created_Date,Size
11,d2l-zh,《动手学深度学习》：面向中文读者、能运行、可讨论。中英文版被70多个国家的500多所大学用于教学。,9898,51110,51110,59,2017-08-23T04:40:24Z,316965
12,face_recognition,The world's simplest facial recognition api for Python and the command line,13237,50280,50280,746,2017-03-03T21:52:39Z,103959
13,faceswap,Deepfakes Software For All,12774,47656,47656,19,2017-12-19T09:44:13Z,201932
14,ailearning,AiLearning：数据分析+机器学习实战+线性代数+PyTorch+NLTK+TF2,11375,36942,36942,3,2017-02-25T08:53:02Z,171332
15,Deep-Learning-Papers-Reading-Roadmap,Deep Learning papers reading roadmap for anyone who are eager to learn this amazing tech!,7336,36682,36682,91,2016-10-14T11:49:48Z,3638
16,bert,TensorFlow code and pre-trained models for BERT,9443,35772,35772,879,2018-10-25T22:57:34Z,317
17,DeepSpeed,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective.",3610,29722,29722,848,2020-01-23T18:35:18Z,191818
18,FastChat,"An open platform for training, serving, and evaluating large language models. Release repo for Vicuna and Chatbot Arena.",3642,29404,29404,423,2023-03-19T00:18:02Z,31811
19,ray,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.,4922,28746,28746,3444,2016-10-25T19:38:30Z,365641
20,Python,My Python Examples,12108,28680,28680,321,2011-11-30T09:04:08Z,31501
21,stanford_alpaca,"Code and documentation to train Stanford's Alpaca models, and generate the data.",3920,27566,27566,180,2023-03-10T23:33:09Z,8654
22,detectron2,"Detectron2 is a platform for object detection, segmentation and other visual recognition tasks.",7132,27241,27241,449,2019-09-05T21:30:20Z,6315
23,30-Days-Of-Python,"30 days of Python programming challenge is a step-by-step guide to learn the Python programming language in 30 days. This challenge may take more than100 days, follow your own pace.  These videos may help too: https://www.youtube.com/channel/UC7PNRuno1rzYPb1xLa4yktw",5873,27039,27039,113,2019-11-19T17:24:16Z,27915
24,data-science-ipython-notebooks,"Data science Python notebooks: Deep learning (TensorFlow, Theano, Caffe, Keras), scikit-learn, Kaggle, big data (Spark, Hadoop MapReduce, HDFS), matplotlib, pandas, NumPy, SciPy, Python essentials, AWS, and various command lines.",7683,25809,25809,35,2015-01-23T19:38:29Z,49025
25,lightning,"Deep learning framework to train, deploy, and ship AI products Lightning fast.",3079,25207,25207,701,2019-03-31T00:45:57Z,129181
26,professional-programming,A collection of learning resources for curious software engineers,2058,24013,24013,2,2015-11-07T05:07:52Z,4759
27,gradio,"Build and share delightful machine learning apps, all in Python. 🌟 Star to support our work!",1686,23705,23705,435,2018-12-19T08:24:04Z,222772
28,freqtrade,"Free, open source crypto trading bot",5431,23496,23496,48,2017-05-17T23:48:53Z,254579
29,ML-From-Scratch,Machine Learning From Scratch. Bare bones NumPy implementations of machine learning models and algorithms with a focus on accessibility. Aims to cover everything from linear regression to deep learning.,4446,22596,22596,49,2017-02-05T12:11:23Z,553
30,NLP-progress,"Repository to track the progress in Natural Language Processing (NLP), including the datasets and the current state-of-the-art for the most common NLP tasks.",3587,22007,22007,52,2018-06-22T17:43:55Z,1345
31,examples,"A set of examples around pytorch in Vision, Text, Reinforcement Learning, etc.",9367,21118,21118,193,2016-08-24T03:12:48Z,42170
32,pytorch-CycleGAN-and-pix2pix,Image-to-Image Translation in PyTorch,6033,21026,21026,518,2017-04-18T10:33:05Z,8391
33,labelImg,"LabelImg is now part of the Label Studio community. The popular image annotation tool created by Tzutalin is no longer actively being developed, but you can check out Label Studio, the open source data labeling tool for images, text, hypertext, audio, video and time-series data.",6053,21001,21001,446,2015-09-17T01:33:59Z,242833
34,so-vits-svc,SoftVC VITS Singing Voice Conversion,4081,20962,20962,29,2023-03-10T09:31:09Z,11145
35,Awesome-Linux-Software,🐧 A list of awesome Linux softwares ,1972,20079,20079,21,2016-08-06T13:16:29Z,5916
36,d2l-en,"Interactive deep learning book with multi-framework code, math, and discussions. Adopted at 500 universities from 70 countries including Stanford, MIT, Harvard, and Cambridge.",3928,19871,19871,101,2018-10-09T01:04:37Z,318147
37,jina,☁️ Build multimodal AI applications with cloud-native stack,2192,19359,19359,19,2020-02-13T17:04:44Z,1269678
38,pytorch_geometric,Graph Neural Network Library for PyTorch,3427,18989,18989,878,2017-10-06T16:03:03Z,16968
39,magenta,Magenta: Music and Art Generation with Machine Intelligence,3758,18737,18737,399,2016-05-05T20:10:40Z,37839
40,rasa,"💬   Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management, connect to Slack, Facebook, and more - Create chatbots and voice assistants",4481,17247,17247,114,2016-10-14T12:27:49Z,1609755
41,DeOldify,A Deep Learning based project for colorizing and restoring old images (and video!),2498,17155,17155,4,2018-10-31T23:32:34Z,71379
42,luigi,"Luigi is a Python module that helps you build complex pipelines of batch jobs. It handles dependency resolution, workflow management, visualization etc. It also comes with Hadoop support built in. ",2380,16914,16914,122,2012-09-20T15:06:38Z,10775
43,recommenders,Best Practices on Recommendation Systems,2887,16709,16709,168,2018-09-19T10:06:07Z,212544
44,zipline,"Zipline, a Pythonic Algorithmic Trading Library",4685,16622,16622,359,2012-10-19T15:50:29Z,170757
45,unilm,"Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities",2197,16333,16333,461,2019-07-23T04:15:28Z,54127
46,onnx,Open standard for machine learning interoperability,3609,15930,15930,304,2017-09-07T04:53:45Z,32143
47,mlflow,Open source platform for the machine learning lifecycle,3708,15885,15885,1293,2018-06-05T16:05:58Z,214113
48,learn-python,📚 Playground and cheatsheet for learning Python. Collection of Python scripts that are split by topics and contain code examples with explanations.,2584,15277,15277,15,2018-08-29T15:20:05Z,129
49,ml-stable-diffusion,Stable Diffusion with Core ML on Apple Silicon,805,15237,15237,148,2022-11-16T00:48:18Z,24012
50,PyTorch-GAN,PyTorch implementations of Generative Adversarial Networks.,3917,14982,14982,130,2018-04-21T13:06:40Z,69709
51,label-studio,Label Studio is a multi-type data labeling and annotation tool with standardized output format,1818,14830,14830,735,2019-06-19T02:00:44Z,1962437
52,tensor2tensor,Library of deep learning models and datasets designed to make deep learning more accessible and accelerate ML research.,3382,14307,14307,590,2017-06-15T16:57:39Z,17508
53,numpy-ml,"Machine learning, in numpy",3614,14267,14267,36,2019-04-06T22:29:49Z,10514
54,awesome-quant,"A curated list of insanely awesome libraries, packages and resources for Quants (Quantitative Finance)",2229,14239,14239,10,2015-09-30T09:53:49Z,1128
55,imgaug,Image augmentation for machine learning experiments.,2413,13884,13884,296,2015-07-10T20:31:33Z,28618
56,ivy,The Unified AI Framework,5998,13794,13794,3454,2021-01-19T08:37:25Z,161050
57,the-gan-zoo,A list of all named GANs!,2544,13682,13682,35,2017-04-14T16:45:24Z,2198
58,horovod,"Distributed training framework for TensorFlow, Keras, PyTorch, and Apache MXNet.",2225,13666,13666,373,2017-08-09T19:39:59Z,6929
59,nni,"An open source AutoML toolkit for automate machine learning lifecycle, including feature engineering, neural architecture search, model compression and hyper-parameter tuning.",1828,13415,13415,350,2018-06-01T05:51:44Z,133567
60,qlib,"Qlib is an AI-oriented quantitative investment platform that aims to realize the potential, empower research, and create value using AI technologies in quantitative investment, from exploring ideas to implementing productions. Qlib supports diverse machine learning modeling paradigms. including supervised learning, market dynamics modeling, and RL.",2232,12892,12892,184,2020-08-14T06:46:00Z,16091
61,albumentations,Fast image augmentation library and an easy-to-use wrapper around other libraries. Documentation:  https://albumentations.ai/docs/ Paper about the library: https://www.mdpi.com/2078-2489/11/2/125,1555,12830,12830,391,2018-06-06T03:10:50Z,102125
62,dgl,"Python package built to ease deep learning on graph, on top of existing DL frameworks.",2916,12469,12469,420,2018-04-20T14:49:09Z,26839
63,transferlearning,"Transfer learning / domain adaptation / domain generalization / multi-task learning etc. Papers, codes, datasets, applications, tutorials.-迁移学习",3715,12251,12251,11,2017-04-30T11:32:21Z,37217
64,detr,End-to-End Object Detection with Transformers,2184,12113,12113,250,2020-05-26T23:54:52Z,13188
65,openage,Free (as in freedom) open source clone of the Age of Empires II engine :rocket:,1130,12092,12092,211,2013-11-03T22:35:23Z,14314
66,edgedb,"A graph-relational database with declarative schema, built-in migration system, and a next-generation query language",365,11834,11834,616,2017-06-29T20:30:48Z,50178
67,awesome-aws,"A curated list of awesome Amazon Web Services (AWS) libraries, open source repos, guides, blogs, and other resources.  Featuring the Fiery Meter of AWSome.",1637,11821,11821,64,2015-10-12T12:02:47Z,803
68,pix2code,pix2code: Generating Code from a Graphical User Interface Screenshot,1415,11798,11798,7,2017-05-24T05:51:41Z,1233636
69,MOSS,An open-source tool-augmented conversational language model from Fudan University,1137,11625,11625,238,2023-04-15T14:07:44Z,39914
70,allennlp,"An open-source NLP research library, built on PyTorch.",2260,11609,11609,91,2017-05-15T15:52:41Z,74709
71,fashion-mnist,A MNIST-like fashion product database. Benchmark :point_down: ,2921,11194,11194,27,2017-08-25T12:05:15Z,108395
72,peft,🤗 PEFT: State-of-the-art Parameter-Efficient Fine-Tuning.,909,11054,11054,71,2022-11-25T03:51:09Z,8424
73,dolly,"Databricks’ Dolly, a large language model trained on the Databricks Machine Learning Platform",1154,10661,10661,4,2023-03-24T16:15:53Z,99
74,ParlAI,A framework for training and evaluating AI models on a variety of openly available dialogue datasets.,2090,10366,10366,51,2017-04-24T17:10:44Z,149271
75,ludwig,"Low-code framework for building custom LLMs, neural networks, and other AI models",1130,10163,10163,326,2018-12-27T23:58:12Z,34180
76,eat_tensorflow2_in_30_days,"Tensorflow2.0 🍎🍊 is delicious, just eat it! 😋😋",2473,9874,9874,27,2020-02-15T09:00:37Z,61324
77,sonnet,TensorFlow-based neural network library,1362,9635,9635,37,2017-04-03T11:34:35Z,16828
78,chroma,the AI-native open-source embedding database,767,9624,9624,242,2022-10-05T17:58:44Z,190415
79,MLAlgorithms,Minimal and clean examples of machine learning algorithms implementations,1684,9536,9536,10,2016-10-05T06:46:45Z,11924
80,tpot,A Python Automated Machine Learning tool that optimizes machine learning pipelines using genetic programming.,1549,9314,9314,279,2015-11-03T21:08:40Z,79752
81,PaddleSpeech,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming TTS with text frontend, Speaker Verification System, End-to-End Speech Translation and Keyword Spotting. Won NAACL2022 Best Demo Award.",1677,9141,9141,414,2017-11-14T12:36:30Z,71617
82,spinningup,An educational resource to help anyone learn deep reinforcement learning.,2093,9124,9124,213,2018-11-07T20:52:15Z,31762
83,dagster,"An orchestration platform for the development, production, and observation of data assets.",1111,8993,8993,2198,2018-04-30T16:30:04Z,883190
84,autokeras,AutoML library for deep learning,1415,8990,8990,131,2017-11-19T23:18:20Z,45411
85,optuna,A hyperparameter optimization framework,906,8939,8939,96,2018-02-21T06:12:56Z,17746
86,awesome-scala,"A community driven list of useful Scala libraries, frameworks and software.",1285,8860,8860,11,2014-07-08T08:13:52Z,1308
87,h2ogpt,"Private Q&A and summarization of documents+images or chat with local GPT, 100% private, Apache 2.0. Supports LLaMa2, llama.cpp, and more. Demo: https://gpt.h2o.ai/ https://codellama.h2o.ai/",1060,8709,8709,220,2023-03-24T21:31:25Z,36016
88,pattern,"Web mining module for Python, with tools for scraping, natural language processing, machine learning, network analysis and visualization.",1597,8585,8585,173,2011-05-03T15:29:01Z,52274
89,NeMo,NeMo: a toolkit for conversational AI,1911,8554,8554,97,2019-08-05T20:16:42Z,244268
90,doccano,Open source annotation tool for machine learning practitioners.,1632,8493,8493,288,2018-05-09T06:10:05Z,56442
91,ImageAI,A python library built to empower developers to build applications and systems  with self-contained Computer Vision capabilities,2137,8144,8144,307,2018-03-19T23:12:33Z,62453
92,vaex,"Out-of-Core hybrid Apache Arrow/NumPy DataFrame for Python, ML, visualization and exploration of big tabular data at a billion rows per second 🚀",589,8060,8060,515,2014-09-27T09:44:42Z,138991
93,Machine-Learning,:zap:机器学习实战（Python3）：kNN、决策树、贝叶斯、逻辑回归、SVM、线性回归、树回归,5016,8042,8042,4,2017-03-25T07:32:37Z,1132
94,gpt-neo,An implementation of model parallel GPT-2 and GPT-3-style models using the mesh-tensorflow library.,928,8024,8024,15,2020-07-05T10:23:46Z,1637
95,data-science-from-scratch,code for Data Science From Scratch book,4285,8000,8000,81,2014-11-09T02:31:24Z,769
96,pysc2,StarCraft II Learning Environment,1163,7835,7835,52,2017-07-25T18:16:57Z,4571
97,machine_learning_examples,A collection of machine learning examples and tutorials.,6196,7797,7797,35,2014-07-31T23:40:45Z,22562
98,text_classification,all kinds of text classification models and more with deep learning,2600,7658,7658,45,2017-05-30T14:25:42Z,14810
99,anomaly-detection-resources,"Anomaly detection related books, papers, videos, and toolboxes",1702,7632,7632,10,2018-05-16T20:02:54Z,313
100,pyod,A Comprehensive and Scalable Python Library for Outlier Detection (Anomaly Detection),1297,7613,7613,187,2017-10-03T20:29:04Z,41153
101,universe,"Universe: a software platform for measuring and training an AI's general intelligence across the world's supply of games, websites and other applications.",953,7417,7417,0,2016-12-04T21:53:35Z,1616
102,espnet,End-to-End Speech Processing Toolkit,2027,7381,7381,253,2017-12-13T00:45:11Z,813194
103,cupy,NumPy & SciPy for GPU,724,7343,7343,534,2016-11-01T09:54:45Z,40569
104,CodeGeeX,CodeGeeX: An Open Multilingual Code Generation Model (KDD 2023),512,7280,7280,143,2022-09-17T14:06:29Z,14447
105,auto-sklearn,Automated Machine Learning with scikit-learn,1254,7211,7211,178,2015-07-02T15:38:10Z,126422
106,programming-talks,Awesome & interesting talks about programming,512,7167,7167,2,2015-01-18T20:29:42Z,1117
107,metaflow,:rocket: Build and manage real-life data science projects with ease!,692,7164,7164,305,2019-09-17T17:48:25Z,8533
108,generative-models,"Collection of generative models, e.g. GAN, VAE in Pytorch and Tensorflow.",2041,7162,7162,20,2016-12-07T11:28:16Z,114
109,cleanlab,"The standard data-centric AI package for data quality and machine learning with messy, real-world data and labels.",584,7150,7150,94,2018-05-11T01:55:21Z,10232
110,DeepCTR,"Easy-to-use,Modular and Extendible package of deep-learning based CTR models .",2154,7134,7134,101,2017-10-07T07:40:37Z,7683
111,BayesianOptimization,A Python implementation of global optimization with gaussian processes.,1514,7125,7125,18,2014-06-06T08:18:56Z,31371
112,nerfstudio,A collaboration friendly studio for NeRFs,877,7093,7093,471,2022-05-31T18:17:37Z,99665
113,demucs,Code for the paper Hybrid Spectrogram and Waveform Source Separation,851,7075,7075,240,2019-10-25T02:43:20Z,78580
114,sktime,A unified framework for machine learning with time series,1173,7030,7030,881,2018-11-06T15:08:24Z,63946
115,machine-learning-course,:speech_balloon: Machine Learning Course with Python: ,1306,6958,6958,1,2019-02-15T00:23:19Z,14145
116,hyperopt,Distributed Asynchronous Hyperparameter Optimization in Python,1067,6926,6926,280,2011-09-06T22:24:59Z,6140
117,tianshou,An elegant PyTorch deep reinforcement learning library.,1041,6912,6912,87,2018-04-16T22:47:38Z,44130
118,stable-baselines3,"PyTorch version of Stable Baselines, reliable implementations of reinforcement learning algorithms. ",1470,6906,6906,85,2020-05-05T05:52:26Z,4486
119,LLaMA-Factory,"Easy-to-use LLM fine-tuning framework (LLaMA, BLOOM, Mistral, Baichuan, Qwen, ChatGLM)",1196,6901,6901,37,2023-05-28T10:09:12Z,183499
120,featuretools,An open source python library for automated feature engineering,851,6875,6875,175,2017-09-08T22:15:17Z,7259
121,awesome-cheatsheet,:beers: awesome cheatsheet,1002,6852,6852,6,2013-10-22T08:35:19Z,9510
