,Dataset ID,Repo Type,Repo Name,Filename,Comment-Introducing Revision,Comment-Removing Revision,Comment Text,Is TD?,Software TD Type,ML TD Type,ML TD Type 2,ML Pipeline Stage,NLC,PS,CS,TFI,ANL,ANC,AVT,AVM
16,aaebbccje,Application,Calysto/conx,conx/__init__.py,https://github.com/Calysto/conx/commit/b71d6b9f870a3e57c8417e7e763bb3516783f4ae,https://github.com/Calysto/conx/commit/49624fe281bacfc6b77c8f72f531a4f7654d606a,FIXME: can I backprop error through both,Yes,Requirement,Weight Conf,MLKnow,Training,0.35193133,0.268907751,0.003393665,0.004706734,0.059871902,0.046892039,0.064301552,0.268817204
17,aaebchhbi,Application,SMTorg/smt,smt/surrogate_models/surrogate_model.py,https://github.com/SMTorg/smt/commit/8cfc6467dd328c21681c3a559bf17bb628694cf9,https://github.com/SMTorg/smt/commit/d3604386b64bc08e906e0489525ded69d26c1e53,TODO: Extend to multifidelity problems by adding training_points = {'approx': {}},Yes,Requirement,Proto,,Modeling,0.035407725,0.180766916,0.000565611,0.09160029,0.04845447,0.032715376,0.047597931,0
18,aaebhhdjf,Application,HewlettPackard/dlcookbook-dlbs,python/pytorch_benchmarks/dataset_factory.py,https://github.com/HewlettPackard/dlcookbook-dlbs/commit/fdb881692ae5cb7f4c24286612272d4b4a704b64,https://github.com/HewlettPackard/dlcookbook-dlbs/commit/d9d62ef46c065434f01b537420da974759025791,TODO: Place tensors into GPU memory. This will require rewriting,Yes,Design,DS Configuration,,Data Acq,0.314377682,0.020185845,0.028846154,0.113685735,0.103035366,0.071973828,0.090428677,0.23655914
19,aaebieajg,Application,alan-turing-institute/sktime,sktime/transformers/series_to_series.py,https://github.com/alan-turing-institute/sktime/commit/f3ceaccfc872d64ba43ec3c5ae39bd00e0e26f0a,https://github.com/alan-turing-institute/sktime/commit/b160db87c3a2e9f6554fc0de1c1b4c10510aa483,TODO generalise to columns with series of unequal length,Yes,Requirement,MCR,,Training,0.142703863,0.094443418,0.00678733,0.02986966,0.018657755,0.022900763,0.020805617,0.021505376
20,aaecjdbfd,Tool,openml/openml-python,openml/flows/flow.py,https://github.com/openml/openml-python/commit/4882cda9f29535eda784d4437076ff4e244a3a73,https://github.com/openml/openml-python/commit/52d01402e7316e3ff09bcc578716ef75f82d5ade,TODO update these - the sklearn transformation class should be able,Yes,Code,CDT,,Data Pre,0.045064378,0.297046679,0.001696833,0.037110789,0.048732943,0.025081788,0.035328899,0.053763441
21,aaedcebdc,Tool,microsoft/NimbusML,src/python/nimbusml/pipeline.py,https://github.com/microsoft/NimbusML/commit/793739b8ab6b002bfccdbda2bedf6f915ce6125b,https://github.com/microsoft/NimbusML/commit/a36a6c04dfb7b983bae5011d411542d57b46aad7,[todo]: this is a bug; predict_proba should not change,Yes,Defect,MCM,,Prediction,0.030042918,0.00517941,0.042420814,0.458001448,0.990531885,0.98691385,0.75210643,0.559139785
22,aaedhahfd,Tool,menpo/menpo,pybug/transform/modeldriven.py,https://github.com/menpo/menpo/commit/04014837a8c41960c958890843017cb29370cc04,https://github.com/menpo/menpo/commit/117e371227f91eac5d7375ca9ccc7332f1a93009,TODO: Could be implemented as optimization option in LK???,Yes,Design,MLKnow,,Modeling,0.159871245,0.057101616,0.00678733,0.056299783,0,0,0,0
23,aaedjcbec,Tool,menpo/menpo,menpo/shape/mesh/base.py,https://github.com/menpo/menpo/commit/4b96d25862d0f5f73441694843ee1113162b977d,https://github.com/menpo/menpo/commit/d7f64272fe62b64bbf680678647ce73c3395616b,TODO: add inheritance from Graph once implemented,Yes,Design,MDepend,,Modeling,0.001072961,0.057101616,0.001696833,0.094496741,0.379560011,0.05561614,0.30857354,0.010752688
24,aaeejjfbc,Tool,CPJKU/madmom,madmom/features/beats.py,https://github.com/CPJKU/madmom/commit/4fae108646cc9b98eef79bd1473e099e4bcfed4c,https://github.com/CPJKU/madmom/commit/7c547b70e51b9b150dd965b4fb74408e0f4661a8,FIXME: this is kind of hackish; but being able to simply set,Yes,Code,MCC,,Modeling,0.156652361,0.009074767,0.012443439,0.032404055,0.2684489,0.13304253,0.244198078,0.139784946
25,aaefagbgc,Tool,CPJKU/madmom,madmom/audio/signal.py,https://github.com/CPJKU/madmom/commit/a62f9f3114e5a67a9cf875b68fada015be25f9a5,https://github.com/CPJKU/madmom/commit/bbcd6cc6590eeb6c51cfc62094c337583dc76670,TODO: make the dtype configurable; see __init__(),Yes,Design,MCM,,Data Acq,0.019313305,0.009074767,0.001696833,0.076755974,0.458925091,0.33478735,0.268218773,0.139784946
26,aaefbgdbg,Tool,nyu-mll/jiant,src/tasks/tasks.py,https://github.com/nyu-mll/jiant/commit/bc013995a312d34732877716a67cb51ef4897e02,https://github.com/nyu-mll/jiant/commit/3a58f7af3055d35b56a17c51849c33c6d4a659ed,TODO: remove dummy \/ debug tasks,Yes,Code,UMC,,Data Acq,0.669527897,0.006031473,0.001696833,0.095401883,0.686159844,0.489640131,0.823429416,1
27,aaefecjfa,Tool,scikit-learn-contrib/metric-learn,metric_learn/nca.py,https://github.com/scikit-learn-contrib/metric-learn/commit/130cbadff294b686e466d430f26b2d069f6bbf59,https://github.com/scikit-learn-contrib/metric-learn/commit/6f783de0254727a144c535056fe9e0022e0ce5bf,TODO: replace init=None by init='auto' in v0.6.0 and remove the warning,Yes,Code,UMC,,Training,0.040772532,0.018045261,0.027714932,0.047248371,0.086605402,0.019629226,0.054767184,0.064516129
28,aaeffajfh,Tool,Accenture/AmpliGraph,ampligraph/latent_features/models.py,https://github.com/Accenture/AmpliGraph/commit/68324ec3acecff31f67828ffafc1f6fc1d0948ed,https://github.com/Accenture/AmpliGraph/commit/c865d9ccdeb9c2618e4bad4a63e9badb3ac34c2e,TODO: Remove corruption entities,Yes,Code,UMC,HP Conf,Evaluation,0.056866953,0.046626606,0.004524887,0.030412744,1,0.623773173,0.943495935,0.311827957
29,aaefhaief,Tool,awslabs/sockeye,sockeye/inference.py,https://github.com/awslabs/sockeye/commit/b5eae44824d3232bbccf42b104890957102d097c,https://github.com/awslabs/sockeye/commit/3271ecefa3a7104d51b425369038578765dc5dba,TODO: we currently exploit a bug in the implementation of unravel_index to not require knowing the first shape,Yes,Defect,MDepend,MLKnow,Training,1,0.014923016,0.027149321,0.097393193,0.761904762,0.424209378,0.633333333,0.430107527
30,aaefhhbid,Tool,awslabs/sockeye,sockeye/transformer.py,https://github.com/awslabs/sockeye/commit/f809d8970fcdf41fb633fa98f13a40617f48f244,https://github.com/awslabs/sockeye/commit/90144057efe4a73b26fb60a5c40bd180420d95bb,TODO (tdomhan): Remove with next major version bump.,Yes,Code,UMC,MDepend,Modeling,0.019313305,0.014923016,0.001131222,0.107349747,0.170983013,0.07306434,0.155247598,0.053763441
31,aaegacgid,Tool,optuna/optuna,optuna/pruners/hyperband.py,https://github.com/optuna/optuna/commit/7bc4874b09b8016a4d425d4896711605e5f03007,https://github.com/optuna/optuna/commit/3a3b439d45cf70c5cbe82fc65080379e105d3bc1,TODO(crcrpar): Improve resource computation\/allocation algorithm.,Yes,Requirement,DS Configuration,,Data Pre,0.001072961,0.025695951,0.023190045,0.20057929,0.078529657,0.031624864,0.043348115,0
32,aaegfadac,Tool,explosion/thinc,thinc/neural/_classes/affine.py,https://github.com/explosion/thinc/commit/53b95dd8ca0cdc9cb26b68cbf31a67ec0a69f578,https://github.com/explosion/thinc/commit/a16ef3065eb72485c4b1cfcea451f17c4bb18810,TODO: Add toggle for the LSUV init. It seems not always better!,Yes,Defect,Layer Conf,Proto,Modeling,0.003218884,0.015737839,0.048642534,0.094134685,0.031189084,0.025081788,0.035291944,0.021505376
33,aaegfjdjb,Tool,explosion/thinc,thinc/layers/staticvectors.py,https://github.com/explosion/thinc/commit/0703344409780e55a055c03ff590c44d35cc10d0,https://github.com/explosion/thinc/commit/f18edb70716b0262c211f8a8e0f6db531c1b8d55,TODO: more specific types?,Yes,Requirement,CDT,,Other,0.010729614,0.015737839,0.003393665,0.115858074,0.026176552,0.017448201,0.037878788,0.096774194
34,aaegihffd,Tool,chartbeat-labs/textacy,textacy/lang_utils.py,https://github.com/chartbeat-labs/textacy/commit/26bac29e6ffc90c53e05fd3a6cdf0c85d55e7cfa,https://github.com/chartbeat-labs/textacy/commit/639571b12a88b2b3e2cd3ddd393fd06c5d80532e,"TODO: identify the \""best\"" language detector available for OSS python",Yes,,MLKnow,,Data Pre,0.050429185,0.048384358,0.029411765,0.085807386,0.031189084,0.017448201,0.021766445,0.010752688
35,aaehaifef,Tool,inspirehep/magpie,magpie/__init__.py,https://github.com/inspirehep/magpie/commit/a4c361f85ba801495c5770e71242fe0b3225285b,https://github.com/inspirehep/magpie/commit/0bb6a1b738975f8f3833ce9e00362e8a1f82f285,TODO this vector is very sparse; we can make it more memory efficient,Yes,Requirement,DS Configuration,,Training,0.417381974,0.141350073,0.000565611,0.008146271,0.061264272,0.035986914,0.062232077,0.161290323
36,aaeidieej,Tool,IntelPython/sdc,hpat/hiframes_join.py,https://github.com/IntelPython/sdc/commit/b5f8eff30f0a2fe05509c5759eac8d67f825e647,https://github.com/IntelPython/sdc/commit/cd12f6cd3fd0f9d07f63b54f9a2ab4de3d06c29f,TODO: extend to other key types,Yes,Requirement,CDT,,Data Acq,0.354077253,0.0240097,0.323529412,0.133417813,0.25368978,0.27480916,0.292091648,0.204301075
37,aaeieedge,Tool,IntelPython/sdc,hpat/hiframes/boxing.py,https://github.com/IntelPython/sdc/commit/7f8f9489e355e519221c4222dec3bc9181762c12,https://github.com/IntelPython/sdc/commit/e9b3308d09c79db3253cc57b878972c062bdb9d5,TODO: is incref required?,Yes,,MLKnow,,Data Pre,0.134120172,0.0240097,0.001131222,0.160209993,0.156223893,0.126499455,0.192978566,0.258064516
38,aaeieejja,Tool,IntelPython/sdc,hpat/compiler.py,https://github.com/IntelPython/sdc/commit/3544f2243917d9a3676fd1d3137902f5c7a6fa99,https://github.com/IntelPython/sdc/commit/2c0548e2ec51fc4d7db1381f3772423aa84680e0,TODO: dataframe pass needed?,Yes,Requirement,MLKnow,,Data Pre,0.329399142,0.0240097,0.156674208,0.198225923,0.068783069,0.051254089,0.064338507,0.182795699
39,aaeiefagi,Tool,IntelPython/sdc,hpat/hiframes/pd_dataframe_ext.py,https://github.com/IntelPython/sdc/commit/3544f2243917d9a3676fd1d3137902f5c7a6fa99,https://github.com/IntelPython/sdc/commit/7ed468bd12027045b159e03c08dcfbb30684e510,index is Array type (TODO: Index obj),Yes,Requirement,Proto,PODT,Data Acq,0.348712446,0.0240097,0.169683258,0.201484432,0.326928432,0.374045802,0.402512934,0.290322581
40,aaeigccaj,Tool,IntelPython/sdc,sdc/datatypes/hpat_pandas_series_rolling_functions.py,https://github.com/IntelPython/sdc/commit/9f0d976cc9316713a47c947e9ec0279bf6a92b63,https://github.com/IntelPython/sdc/commit/b5bbbaa3db7885c033471836d1536313045a9796,TODO: check `other` is Series after a circular import of SeriesType fixed,Yes,M&T,MDepend,,Data Pre,0.086909871,0.0240097,0.061651584,0.271723389,0.268170426,0.169029444,0.191389505,0.129032258
41,aaejcccgj,Tool,kornia/kornia,kornia/filters/blur.py,https://github.com/kornia/kornia/commit/7976f384889e79b8f5aef3bc9a3c495961e60db6,https://github.com/kornia/kornia/commit/6a4fa82792bddc6126eaf944956f49f0a0cb7ca7,TODO: In terms of functional API; there should not be any initialization of an nn.Module.,Yes,Code,UMC,,Data Pre,0.072961373,0.113428629,0.076357466,0.200398262,0.04427736,0.010905125,0.018588322,0.032258065
42,aafchbaid,Tool,Rostlab/nalaf,nala/features/tmvar.py,https://github.com/Rostlab/nalaf/commit/9edac3eb0323946488ac177b1341711492fef55a,https://github.com/Rostlab/nalaf/commit/d2f832bb7a8576ad24fdfbbb7f707526ad47d634,"TODO last token include: \""&& $last_token[...]\""",Yes,Requirement,Data Conf,,Data Pre,0.009656652,0.049281109,0.001131222,0.011766836,0.072681704,0.106870229,0.072431633,0.150537634
43,aafciifib,Tool,DigitalSlideArchive/HistomicsTK,server/docker_resource.py,https://github.com/DigitalSlideArchive/HistomicsTK/commit/d252eeb3478d843b03d0bf3de83aaa350031805b,https://github.com/DigitalSlideArchive/HistomicsTK/commit/cdf31a09206e7dbaff3ae9872480589f7bc1b611,TODO check the local cache and cloud for different images of same name,Yes,,Data Conf,DS Configuration,Other,0.536480687,0.191727542,0.005090498,0.049239681,0.102199944,0.095965104,0.083776792,0.483870968
44,aafdiegjf,Application,pierluigiferrari/ssd_keras,ssd_box_encode_decode_utils.py,https://github.com/pierluigiferrari/ssd_keras/commit/2152409b5750c30524ebd052bff2c145bbd1031a,https://github.com/pierluigiferrari/ssd_keras/commit/8b3fe97d35591fa5b852dd4b6db3292e041c616d,TODO: This matching process is slow. Make it faster; avoid loops where possible.,Yes,Requirement,Proto,,Data Pre,0.227467811,0.0293485,0.006221719,0.003620565,0.109718741,0.06870229,0.163266814,0.161290323
45,aafdjgjfa,Application,shenweichen/DeepCTR,deepctr/models/nfm.py,https://github.com/shenweichen/DeepCTR/commit/be65ce986a45bf2f35b5494db3fa6e993b905aeb,https://github.com/shenweichen/DeepCTR/commit/bf210d7f364d5ab1ce469e5af1e8950ce78304a3,todo not support dense,Yes,Requirement,UMC,,Modeling,0.005364807,0.010725266,0.000565611,0.053765387,0.030353662,0.002181025,0.022838137,0.021505376
46,aafedbhaj,Application,lmcinnes/umap,umap/umap_.py,https://github.com/lmcinnes/umap/commit/f3bd97de5fb0e1e7f8a4e52804afba71935dd434,https://github.com/lmcinnes/umap/commit/8ec1bf055e1b6299f283edb3087ec68b9da26b0c,needed to sklearn comparability,Yes,Code,MDepend,,Training,0,0.091176681,0.053733032,0.030412744,0.525480368,0.299890949,0.408056171,0.043010753
47,aafedbhaj,Application,lmcinnes/umap,umap/umap_.py,https://github.com/lmcinnes/umap/commit/f3bd97de5fb0e1e7f8a4e52804afba71935dd434,https://github.com/lmcinnes/umap/commit/8ec1bf055e1b6299f283edb3087ec68b9da26b0c,needed to sklearn comparability,Yes,Code,MDepend,,Training,0,0.091176681,0.053733032,0,0.525480368,0.299890949,0.408056171,0.043010753
48,aafegjcei,Application,aleju/imgaug,tests/test.py,https://github.com/aleju/imgaug/commit/6da1af45453cef0784277792b540df94c4b0920c,https://github.com/aleju/imgaug/commit/3b39b64b25c9c66309def58aec621a1d9945c70d,TODO add test for keypoints once their handling was improved in Convolve,Yes,M&T,MDepend,,Data Pre,0.004291845,0.041910468,,0.052136133,0,0,0,0
49,aafehiefj,Application,aleju/imgaug,imgaug/augmentables/bbs.py,https://github.com/aleju/imgaug/commit/82febec2db268d6b237bcf84e517c3f0234a2cc4,https://github.com/aleju/imgaug/commit/9877f5fed3e5aecc7d6b34eeb497f4b310de2e3e,TODO convert this to x\/y params?,Yes,Requirement,Data Conf,HP Conf,Data Pre,0.010729614,0.041910468,0.056561086,0.191165822,0.294903926,0.26172301,0.271027347,0.430107527
50,aaffafejc,Tool,DependableSystemsLab/TensorFI,TensorFI/injectFault.py,https://github.com/DependableSystemsLab/TensorFI/commit/4341e8bf34ff969a43d1ca84862cd85675e6a601,https://github.com/DependableSystemsLab/TensorFI/commit/bbe9a6b138598bf4b36da3f022bb02307b84ed3c,FIXME: Implement this functionality,Yes,Requirement,Data Conf,Proto,Data Pre,0.005364807,0.018571097,0.015837104,0.027697321,0.4631022,0.417666303,0.387361419,0.032258065
51,aaffdcfdh,Tool,IGITUGraz/L2L,bin/ltl-fun-gs.py,https://github.com/IGITUGraz/L2L/commit/65385163b657e10befd2b1d97e75a598430d0212,https://github.com/IGITUGraz/L2L/commit/9277b42e4dcd14170b78e15af43387bfd9b78d08,TODO: Change the optimizer to the appropriate Optimizer class,Yes,Code,HP Conf,,Training,0.015021459,0.010623972,0.006221719,0.028964518,0.034530771,0.003271538,0.030894309,0.021505376
52,aafhghged,Application,mdangschat/ctc-asr,python/s_input.py,https://github.com/mdangschat/ctc-asr/commit/f4fb1ee074cce7f8df3ceb3428d10d14479b141a,https://github.com/mdangschat/ctc-asr/commit/7dea36d5b9d6e4bf28ee20f870f9adedf1823f55,TODO remove,Yes,Code,UMC,,Data Acq,0.025751073,0.085340348,0.003959276,0.005973932,0.055694793,0.019629226,0.062342942,0.11827957
53,aagaagfeh,Application,Merck/deepbgc,deepbgc/output/antismash_json.py,https://github.com/Merck/deepbgc/commit/f91d3f01440445d42e550814390716ff3f527ed4,https://github.com/Merck/deepbgc/commit/f5d29b079dcb6fedea2dbc9e0ce572deeca6923a,TODO add meta info from all detectors?,Yes,,Data Conf,MLKnow,Other,0.008583691,0.038873132,0.000565611,0.047067343,0.040100251,0.031624864,0.036548411,0.107526882
54,aagaahfid,Application,Neuraxio/Neuraxle,neuraxle/metaopt/random.py,https://github.com/Neuraxio/Neuraxle/commit/2c69f0058b15dbd9df3f648fde5d7af52ecb01c2,https://github.com/Neuraxio/Neuraxle/commit/bb17e2ebee70c2a3b0380f669738652885c245f7,TODO: skip on error???,Yes,Defect,MLKnow,,Training,0.033261803,0.012034643,0.018665158,0.043084721,0.115845168,0.06870229,0.08263119,0.182795699
55,aagaceabd,Application,SimGus/Chatette,src/Generator.py,https://github.com/SimGus/Chatette/commit/52afc86871b3fdaab1c68b380a2c5a010f845dd3,https://github.com/SimGus/Chatette/commit/6dfc6e878c6994ba7a1fc8449e353ec4af22d566,TODO remove this,Yes,Code,UMC ,,Data Acq,0.327253219,0.024425304,0.041855204,0.007060101,0.085769981,0.087241003,0.063784183,0.053763441
56,aagafeacd,Application,henrysky/astroNN,astroNN/shared/nn_tools.py,https://github.com/henrysky/astroNN/commit/8c63439163afc1625612a8e45780784a1398ee53,https://github.com/henrysky/astroNN/commit/46c289de09eadf6256fb8f285e8b706a65f54e9a,TODO: Model Precision,Yes,Requirement,Data Conf,,Prediction,0.124463519,0.275761494,0.140837104,0.036748733,0.05764411,0.065430752,0.060384331,0.075268817
57,aagaghfef,Application,araffin/srl-zoo,models/models.py,https://github.com/araffin/srl-zoo/commit/10ece5a9de255f85f0cf29ae6e19ee17bd5fa8cc,https://github.com/araffin/srl-zoo/commit/c17ebecfa5309d594c8f1a09a6d749365ae9b027,TODO: implement residual connection,Yes,Requirement,Layer Conf,,Training,0.051502146,0.006323438,0.005090498,0.028602462,0.13561682,0.054525627,0.130931264,0.129032258
58,aagbjbdaa,Application,maximecb/gym-miniworld,gym_miniworld/miniworld.py,https://github.com/maximecb/gym-miniworld/commit/bb2ab9d0ae8efef93ad9b5854891b46701c50f6d,https://github.com/maximecb/gym-miniworld/commit/da0eb3e7fcccc73122796e32e0b517e79f1f5326,TODO: compute signed distance between walls,Yes,Requirement,Data Conf,,Data Pre,0.093347639,0.227508223,0.000565611,0.034214337,0.351991089,0.189749182,0.304397635,0.096774194
59,aagdaagij,Application,drivendataorg/zamba,zamba/models/cnnensemble/src/single_frame_cnn.py,https://github.com/drivendataorg/zamba/commit/8f27ebfe85bbd6cb99a2ab047c9377a65054d023,https://github.com/drivendataorg/zamba/commit/e6a3d222c7081652d836c148e75b5ac10c61b2c4,TODO: it's worth to switch back to the correct preprocess_input when InceptionResNetV2 model is re-trained,Yes,Code,MDepend,,Data Pre,0.086909871,0.110769657,0.004524887,0.0391021,0.329991646,0.242093784,0.361271249,0.086021505
60,aagdffgjh,Application,WMD-group/SMACT,smact/builder.py,https://github.com/WMD-group/SMACT/commit/0ceab844146cd962813ea7fe5c4280e846c23bc1,https://github.com/WMD-group/SMACT/commit/5bf98ec6e5a8d604a35039d06264c5b6856c5de7,TODO Figure out how to distinguish oxidation states,Yes,Requirement,MLKnow,,Data Pre,0.043991416,0.016695665,0.000565611,0.010137581,0.058758006,0.05997819,0.074944568,0.086021505
61,aagdjibjh,Application,hackingmaterials/automatminer,matbench/preprocess.py,https://github.com/hackingmaterials/automatminer/commit/6e12e0561636142975a339bf7ae1e384aa59ced8,https://github.com/hackingmaterials/automatminer/commit/c99fc10729880bbff0c1711318a3d586fb813d0e,TODO: This might not work with numpy types; haven't checked - AD,Yes,M&T,MLKnow,,Data Pre,0.039699571,0.078413614,0.002262443,0.03493845,0.058201058,0.054525627,0.056984479,0.075268817
